HHID,PID,s11_start_time,s11q01a,s11q01b,s11q02,s11q03,s11q04,s11q05,s11q06,s11q07,s11q08,s11q09a,s11q09a_oth,s11q09b,s11q10,s11q11__1,s11q11__2,s11q11__3,s11q12,s11q13,s11q14,s11q15a,s11q15b,s11q16a,s11q16b,s11q16c,s11q16d,s11q16e,s11q16f,s11q16g,s11q16h,s11q17a,s11_end_time
005134388e5446bd9b1e4eff8714e4c6,1,2019-12-15T10:10:29,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-15T10:11:05
005134388e5446bd9b1e4eff8714e4c6,2,2019-12-15T11:22:38,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-15T11:23:08
005134388e5446bd9b1e4eff8714e4c6,3,2019-12-15T10:11:15,No,1,Yes,Yes,Yes,9,Class eight completed,Yes,Class nine,,,Public,No,,,,No,,,Yes,Class eight,No expenses / Don't Know,No expenses / Don't Know,20000,40000,1800000,360000,No expenses / Don't Know,,ALONE,2019-12-15T10:15:09
005134388e5446bd9b1e4eff8714e4c6,4,2019-12-15T10:15:16,No,1,Yes,Yes,Yes,6,Class three completed,Yes,Class four,,,Public,No,,,,No,,,Yes,Class three,No expenses / Don't Know,No expenses / Don't Know,10000,20000,108000,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-12-15T10:19:07
005134388e5446bd9b1e4eff8714e4c6,5,2019-12-15T10:19:15,No,1,No,No,Yes,4,Class one completed,Yes,Class two,,,Public,No,,,,No,,,Yes,Class one,No expenses / Don't Know,No expenses / Don't Know,5000,2500,108000,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-12-15T10:22:47
005134388e5446bd9b1e4eff8714e4c6,6,2019-12-15T10:22:56,No,1,No,No,Yes,2,No class completed,Yes,Pre-school/Kindergarten,Community Preschool run by commune,,,No,,,,No,,,Yes,Pre-school/Kindergarten,No expenses / Don't Know,No expenses / Don't Know,No expenses / Don't Know,11000,108000,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-12-15T10:25:37
005134388e5446bd9b1e4eff8714e4c6,7,2019-12-15T10:25:42,No,1,No,No,No,,,,,,,,,Too young,,,No,,,No,,,,,,,,,,ALONE,2019-12-15T10:26:36
008e5085a2e546b2bc6fcebe4f97b325,1,2019-11-30T13:23:33,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-30T13:24:03
008e5085a2e546b2bc6fcebe4f97b325,2,2019-12-01T11:30:20,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-01T11:30:40
008e5085a2e546b2bc6fcebe4f97b325,3,2019-12-01T11:31:44,No,2,No,No,Yes,1,Class one completed,Yes,Class one,,,Public,No,,,,No,,,Yes,Pre-school/Kindergarten,No expenses / Don't Know,No expenses / Don't Know,5000,12000,No expenses / Don't Know,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-12-01T11:33:53
008e5085a2e546b2bc6fcebe4f97b325,4,2019-12-01T11:30:48,No,2,No,No,No,,,,,,,,,Too young,,,No,,,No,,,,,,,,,,ALONE,2019-12-01T11:31:39
008e5085a2e546b2bc6fcebe4f97b325,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00f9013358154a6a8ce1390ed00fe54d,1,2019-11-10T10:06:42,Yes,,Yes,Yes,Yes,12,Higher education certificate (BacII),No,,,,,,,,,Yes,No,,No,,,,,,,,,,ALONE,2019-11-10T10:07:25
00f9013358154a6a8ce1390ed00fe54d,2,2019-11-10T10:07:29,Yes,,Yes,Yes,Yes,12,Higher education certificate (BacII),No,,,,,,,,,Yes,No,,No,,,,,,,,,,ALONE,2019-11-10T10:08:17
00f9013358154a6a8ce1390ed00fe54d,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0109c398b6fc481ab90768e7efa526cf,1,2019-11-10T13:24:45,Yes,,Yes,Yes,Yes,5,Class five completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-10T13:27:46
0109c398b6fc481ab90768e7efa526cf,2,2019-11-10T13:29:14,Yes,,Yes,Yes,Yes,7,Class six completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-10T13:32:15
0109c398b6fc481ab90768e7efa526cf,3,2019-11-10T13:32:43,Yes,,Yes,Yes,Yes,10,Lower education certificate (diploma),Yes,Class ten,,,Public,Yes,,,,Yes,Yes,Foreign Languages,Yes,Class nine,1400000,1000000,100000,100000,1200000,600000,No expenses / Don't Know,,ALONE,2019-11-10T13:40:02
01b2104185b54257b0d0b8f756433be5,1,2019-12-23T21:33:41,Yes,,Yes,Yes,Yes,3,Class three completed,No,,,,,,,,,Yes,Yes,"Vocational training (Tailoring, motor repairing, Khmer classical music  training, hairdressing, pottery...etc",No,,,,,,,,,,ALONE,2019-12-23T21:43:05
01b2104185b54257b0d0b8f756433be5,2,2019-12-24T01:26:31,Yes,,Yes,Yes,Yes,5,Class five completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-24T01:27:15
01b2104185b54257b0d0b8f756433be5,3,2019-12-25T00:29:06,No,2,Yes,Yes,Yes,4,Class four completed,Yes,Class five,,,Public,Yes,,,,No,,,Yes,Class four,No expenses / Don't Know,324000,18000,5000,432000,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-12-25T00:37:12
01b2104185b54257b0d0b8f756433be5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01ee6d7c5432467cb5aeb7d243862375,1,2019-12-31T08:17:33,Yes,,Yes,Yes,Yes,4,Class four completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-31T08:23:25
01ee6d7c5432467cb5aeb7d243862375,2,2019-12-29T14:48:11,Yes,,Yes,Yes,Yes,5,Class four completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-29T14:52:42
