HHID,s04_start_time,s04q01,s04q02,s04q03,s04q04,s04q05,s04q06,s04q07,s04q08,s04q08_oth,s04q16,s04q19a,s04q19b,s04q19c,s04q19d,s04q20,s04q21,s04q26,s04q27a,s04q27b,s04q27c,s04q27d,s04q27e,s04q27f,s04q27g,s04q28,s04q28_oth,s04q29a,s04q29a_UM,s04q29b,s04q29b_UM,s04q30,s04_end_time
005134388e5446bd9b1e4eff8714e4c6,2019-12-15T09:32:01,1,56,2,Wood or logs,Galvanized iron or aluminium or other metal sheets,Wooden planks,Solar,Protected well,,not buying water source,Pit latrine with slab,No,"No, never pump/empty",,Nothing,Nothing,Firewood,Did not spend anything,Did not spend anything,Did not spend anything,35000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,70000,RIEL,Nothing,2019-12-15T09:35:31
008e5085a2e546b2bc6fcebe4f97b325,2019-11-27T16:41:49,1,56,1,Wood or logs,Galvanized iron or aluminium or other metal sheets,Wooden planks,Solar,Protected well,,not buying water source,None,,,,Nothing,Nothing,Firewood,Did not spend anything,Did not spend anything,Did not spend anything,45000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,200000,RIEL,Nothing,2019-11-27T16:44:25
00f9013358154a6a8ce1390ed00fe54d,2019-11-10T08:50:49,1,120,1,"Concrete, brick, stone",Fibrous cement,Cement/Brick/Stone,Publicly-provided electricity/City power,Piped into dwelling,,100000,Pour flush (or flush connected to sewerage,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,100000,45000,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,2000000,RIEL,Nothing,2019-11-10T08:54:57
0109c398b6fc481ab90768e7efa526cf,2019-11-10T08:50:43,1,24,1,"Concrete, brick, stone",Galvanized iron or aluminium or other metal sheets,Ceramic tiles,Publicly-provided electricity/City power,"Piped into compound, yard or plot",,20000,Pour flush (or flush connected to sewerage,Yes,"No, never pump/empty",,2000,40000,Liquefied petroleum gas LPG,100000,30000,Did not spend anything,Did not spend anything,5000,Did not spend anything,Did not spend anything,Not owned but no rent is paid,,,,1000000,RIEL,50000,2019-11-10T09:12:04
01b2104185b54257b0d0b8f756433be5,2019-12-23T03:27:06,1,125,1,Galvanized iron or aluminium or other metal sheets,Galvanized iron or aluminium or other metal sheets,Cement/Brick/Stone,Publicly-provided electricity/City power,Piped into dwelling,,30000,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,35000,19000,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Rented,,150000,RIEL,,,Nothing,2019-12-23T03:33:37
01ee6d7c5432467cb5aeb7d243862375,2019-12-27T15:16:47,1,120,2,Wood or logs,Fibrous cement,Wooden planks,Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,25000,30000,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,600000,RIEL,Nothing,2019-12-27T15:42:59
01faa82436bf42cdb200eab624566a14,2019-12-10T17:15:41,1,56,1,Wood or logs,Galvanized iron or aluminium or other metal sheets,Wooden planks,Publicly-provided electricity/City power,"Piped into compound, yard or plot",,32000,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Firewood,22400,Did not spend anything,Did not spend anything,10000,10000,Did not spend anything,Did not spend anything,Owned by the household,,,,400000,RIEL,Nothing,2019-12-10T17:26:08
0269b3003f0742b1a12f9878728442bf,2019-11-27T08:20:58,1,24,1,"Concrete, brick, stone",Fibrous cement,Ceramic tiles,Publicly-provided electricity/City power,Piped into dwelling,,16500,Pour flush (or flush connected to sewerage,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,22000,30000,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,40,USD,Nothing,2019-11-27T08:27:09
02a2c53daab74586bc8d06a54c1680f1,2019-12-18T14:24:49,1,30,1,Wood or logs,Galvanized iron or aluminium or other metal sheets,"Earth, clay",Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,12500,28000,Did not spend anything,10000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,120000,RIEL,Nothing,2019-12-18T14:45:09
02d43ed756e144dc90d561c9fd356c7e,2019-11-27T15:23:43,1,35,1,Wood or logs,Fibrous cement,Wooden planks,Publicly-provided electricity/City power,Cart with small tank / drum,,30000,None,,,,Nothing,Nothing,Firewood,47100,15000,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,150000,RIEL,Nothing,2019-11-27T15:30:33
030e4d8ab2c24272aff127942cad782c,2019-10-11T08:34:40,2,63,1,Wood or logs,Galvanized iron or aluminium or other metal sheets,Wooden planks,Publicly-provided electricity/City power,Unprotected well,,100000,None,,,,20000,Nothing,Firewood,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Not owned but no rent is paid,,,,100000,RIEL,Nothing,2019-10-11T08:40:14
0333251a61eb4cae8c684f31a62494a8,2019-12-15T09:24:24,1,16,1,"Bamboo, Thatch/leaves, Grass",Galvanized iron or aluminium or other metal sheets,Wooden planks,Solar,"Tube Well, Borehole",,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Firewood,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,1600000,Owned by the household,,,,50000,RIEL,Nothing,2019-12-15T09:28:25
039da365cf1945ceb695a8ac40985637,2019-11-20T11:00:31,1,80,3,"Concrete, brick, stone",Tiles,Cement/Brick/Stone,Publicly-provided electricity/City power,Piped into dwelling,,25000,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,100000,20000,Did not spend anything,Did not spend anything,3000,Did not spend anything,Did not spend anything,Owned by the household,,,,400000,RIEL,Nothing,2019-11-20T11:03:58
03fc7d5cd0614ef19f42b0d3cadfbeb9,2019-12-06T16:49:59,1,36,1,Galvanized iron or aluminium or other metal sheets,Galvanized iron or aluminium or other metal sheets,Cement/Brick/Stone,Publicly-provided electricity/City power,"Surface water (river, stream, dam, lakes, ponds, streams, canals, and irrigeation channels)",,20000,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,4000,Firewood,20000,Did not spend anything,Did not spend anything,40000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,120000,RIEL,10800000,2019-12-06T16:55:41
04a4ecf198c14dceaae4e54355b3e2e9,2019-10-15T15:24:52,1,96,2,Wood or logs,Tiles,Wooden planks,Publicly-provided electricity/City power,"Piped into compound, yard or plot",,26000,Pour flush (or flush connected to sewerage,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,53500,30000,Did not spend anything,25000,10000,Did not spend anything,Did not spend anything,Owned by the household,,,,400000,RIEL,Nothing,2019-10-15T16:18:57
05159f83d1af4989871d6d776e113fc6,2019-10-14T03:11:17,1,80,1,Galvanized iron or aluminium or other metal sheets,Galvanized iron or aluminium or other metal sheets,Cement/Brick/Stone,Publicly-provided electricity/City power,Rainwater collection,,not buying water source,Pit latrine with slab,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,17000,33000,Did not spend anything,15000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,50000,RIEL,Nothing,2019-10-14T03:29:23
055dbfab1ccc4a29bd09e7864cd17b16,2019-10-11T10:00:16,1,60,2,"Concrete, brick, stone",Tiles,Ceramic tiles,Publicly-provided electricity/City power,Rainwater collection,,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,10000,20000,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,400000,RIEL,Nothing,2019-10-11T10:04:38
0564a37a084d4c59b05015fff6aa3fa9,2019-12-23T08:38:14,1,30,1,Wood or logs,Galvanized iron or aluminium or other metal sheets,Wooden planks,Battery,"Tube Well, Borehole",,not buying water source,None,,,,Nothing,Nothing,Firewood,Did not spend anything,Did not spend anything,Did not spend anything,30000,Did not spend anything,25000,Did not spend anything,Owned by the household,,,,40000,RIEL,Nothing,2019-12-23T08:41:03
056608d9d2d04b6792d59b3e58eef8a7,2019-11-12T16:47:12,1,12.5,1,Wood or logs,Thatch/leaves/grass,Wooden planks,Battery,Rainwater collection,,not buying water source,None,,,,Nothing,Nothing,Firewood,Did not spend anything,Did not spend anything,Did not spend anything,18000,Did not spend anything,Did not spend anything,8000,Owned by the household,,,,40000,RIEL,Nothing,2019-11-12T16:55:43
05718664925a488291b5112b4667bd2a,2019-11-30T14:28:19,1,20,1,Galvanized iron or aluminium or other metal sheets,Galvanized iron or aluminium or other metal sheets,Bamboo strips,Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Firewood,20000,Did not spend anything,Did not spend anything,12000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,40000,RIEL,Nothing,2019-11-30T14:30:55
0595774406de4d29bf81cff8fd70f21e,2019-11-21T10:11:48,1,45,1,Wood or logs,Galvanized iron or aluminium or other metal sheets,Wooden planks,Publicly-provided electricity/City power,Protected well,,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Charcoal,13000,Did not spend anything,Did not spend anything,45000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,200000,RIEL,Nothing,2019-11-21T10:15:11
05affff23530413bb586aa2942c32488,2019-10-22T15:43:37,1,35,1,Galvanized iron or aluminium or other metal sheets,Galvanized iron or aluminium or other metal sheets,"Parquet, polished wood",Publicly-provided electricity/City power,Rainwater collection,,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Firewood,4000,Did not spend anything,Did not spend anything,12500,12000,Did not spend anything,Did not spend anything,Owned by the household,,,,150000,RIEL,Nothing,2019-10-22T15:47:28
05dab3229d3e4a08b6ce1500ad4d5b5b,2020-01-02T08:08:03,1,48,1,Wood or logs,Tiles,Wooden planks,Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,28000,20000,Did not spend anything,5000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,200000,RIEL,Nothing,2020-01-02T08:10:38
063347851fa2444faabc52bb58908172,2019-12-27T10:08:46,1,42,1,Wood or logs,Tiles,Wooden planks,Publicly-provided electricity/City power,"Surface water (river, stream, dam, lakes, ponds, streams, canals, and irrigeation channels)",,not buying water source,Pour flush (or flush) to septic tank or pit,Yes,"No, never pump/empty",,Nothing,Nothing,Firewood,10000,Did not spend anything,Did not spend anything,40000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,120000,RIEL,Nothing,2019-12-27T10:10:02
06a094e3a0454503acef84df27ec5ca5,2019-11-15T09:25:29,1,30,1,Wood or logs,Galvanized iron or aluminium or other metal sheets,Wooden planks,Publicly-provided electricity/City power,Unprotected well,,18000,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Charcoal,32000,Did not spend anything,Did not spend anything,Did not spend anything,30000,Did not spend anything,Did not spend anything,Owned by the household,,,,300000,RIEL,Nothing,2019-11-15T09:30:27
06a8088c4e1c45ebb5421d18017fc9cf,2019-11-23T16:29:23,1,35,1,Wood or logs,Tiles,"Earth, clay",Generator,"Surface water (river, stream, dam, lakes, ponds, streams, canals, and irrigeation channels)",,not buying water source,None,,,,Nothing,Nothing,Firewood,Did not spend anything,Did not spend anything,32500,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Not owned but no rent is paid,,,,100000,RIEL,Nothing,2019-11-23T16:32:11
06b11d0e8d6341369e35605d6a5d008e,2019-11-15T16:17:51,1,56,1,Wood or logs,Tiles,Wooden planks,Publicly-provided electricity/City power,Tanker-truck,,10000,"Latrine overhanging field or water (drop in the field, pond, lake, river, sea)",No,"No, never pump/empty",,Nothing,Nothing,Firewood,10000,Did not spend anything,Did not spend anything,40000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,120000,RIEL,Nothing,2019-11-15T16:22:32
06bc8a36c0ac4068a59b5ac245008104,2019-12-09T08:06:12,1,30,1,Wood or logs,Galvanized iron or aluminium or other metal sheets,Wooden planks,Solar,"Tube Well, Borehole",,not buying water source,None,,,,Nothing,Nothing,Firewood,Did not spend anything,Did not spend anything,Did not spend anything,30000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,20000,RIEL,Nothing,2019-12-09T08:12:14
